Horas_Estudio_Semana;Puntaje_Examen
13.738.499.535.539.300;7.188.634.480.347.370
11.516.074.945.900.800;6.974.821.321.305.590
14.266.909.883.352.400;7.894.053.904.409.390
1.733.060.449.742.800;864.465.480.456.618
11.180.463.188.468.300;6.997.105.364.476.850
11.180.520.650.677.800;7.279.792.036.624.180
1.752.724.485.427.580;100.0
1.468.602.155.203.510;8.286.815.803.067.170
10.356.839.649.227.600;6.942.963.883.114.230
13.898.960.152.550.800;7.910.444.290.933.190
10.378.038.075.156.300;5.861.586.576.400.520
10.369.945.862.504.100;6.805.125.738.276.700
1.284.686.795.048.110;7.641.112.849.124.470
5.303.519.143.697.700;6.428.747.182.225.900
5.962.787.586.204.380;53.119.115.451.948.400
10.031.993.647.656.500;6.861.011.638.416.910
8.455.091.078.829.510;61.882.732.603.728.200
13.099.865.664.083.400;7.107.617.993.696.940
8.821.915.735.675.760;6.894.424.442.673.750
705.693.704.532.648;61.341.863.708.478.600
1.712.977.069.122.540;9.377.042.594.713.660
11.209.782.948.297.100;6.632.436.816.057.710
12.236.348.716.407.700;8.117.028.744.718.520
7.013.381.348.252.900;50.433.565.000.447.800
1.009.466.046.416.180;7.023.719.895.431.930
1.238.822.906.398.450;8.559.461.113.380.030
79.715.224.790.219.400;5.555.619.030.721.670
13.314.943.064.209.800;7.477.632.915.745.760
9.897.764.585.284.180;6.717.110.349.834.750
1.097.907.187.572.350;6.761.565.173.173.430
9.894.026.857.197.110;589.075.687.877.001
18.482.973.645.781.200;9.448.833.054.053.020
11.952.759.713.417.200;6.793.731.251.430.460
829.801.174.865.435;6.392.159.974.886.980
14.878.907.192.361.100;780.153.818.443.867
7.727.047.225.101.420;6.747.622.314.541.220
12.731.022.582.516.600;7.182.300.580.237.200
5.141.154.566.420.780;4.984.138.703.151.810
7.351.348.828.855.490;62.591.902.339.185.900
12.689.014.325.541.900;6.945.052.425.956.440
14.584.633.029.983.900;8.280.812.536.896.920
12.599.788.984.164.800;8.185.503.852.073.980
11.595.231.011.641.100;6.406.732.306.444.550
10.946.137.065.437.400;7.095.080.790.206.140
6.825.173.033.714.000;5.813.996.767.912.690
948.054.527.061.852;6.924.685.922.486.580
10.387.764.301.640.700;6.205.609.221.085.990
15.699.927.791.766.200;7.863.748.586.823.040
13.202.664.013.489.600;7.985.823.267.125.120
5.829.359.456.230.430;5.513.887.362.610.330
13.134.293.892.881.700;7.828.220.470.895.100
10.652.212.018.542.800;7.081.931.950.682.210
9.630.772.998.929.140;624.183.499.886.808
14.140.867.010.943.000;8.141.204.292.082.270
15.608.498.328.735.800;8.641.255.701.844.800
15.259.480.416.906.600;8.025.858.024.396.950
9.062.738.668.720.760;7.332.963.629.563.020
10.917.756.684.520.700;7.230.598.599.502.530
13.159.422.009.912.400;7.115.363.294.570.660
15.414.407.944.928.200;8.760.887.346.693.950
10.322.890.167.541.400;63.159.840.184.996.100
1.135.019.358.167.660;7.525.604.248.007.750
8.127.827.590.978.900;6.680.202.618.616.950
7.813.276.815.717.650;5.589.907.421.853.790
14.843.840.378.379.600;8.731.716.985.703.660
1.674.684.009.999.780;906.537.929.546.757
11.747.964.574.468.800;7.670.378.743.827.270
15.512.365.142.622.000;9.412.353.336.966.040
1.326.572.608.766.670;7.622.338.290.051.910
9.742.080.858.882.060;6.240.597.792.663.510
1.326.488.461.927.940;7.300.005.863.356.660
17.383.127.982.630.800;8.654.695.811.959.160
11.874.608.863.115.100;7.261.323.981.489.800
17.476.252.795.349.000;9.262.976.881.920.000
2.830.892.135.685.890;4.544.230.883.084.490
14.876.658.765.313.200;8.674.122.429.418.260
123.046.647.388.336;7.443.993.662.365.700
10.953.474.273.369.400;7.731.878.806.056.880
12.321.162.717.874.200;7.310.443.653.100.780
5.043.508.798.896.870;647.400.739.894.181
11.231.148.392.568.700;740.680.115.950.449
13.249.894.000.291.100;7.311.387.301.885.010
17.172.629.156.595.300;8.459.795.081.079.940
10.186.054.236.042.200;7.000.773.563.155.100
9.170.272.389.873.840;63.227.557.720.967.000
10.243.850.347.454.100;7.135.032.358.231.360
1.520.390.741.195.720;8.601.869.184.113.090
13.150.628.883.808.800;7.671.786.786.490.410
10.145.839.286.815.300;6.323.271.712.746.710
13.796.436.015.896.700;7.157.435.912.744.020
12.339.771.422.718.100;7.225.469.379.236.290
15.390.257.466.865.100;8.853.081.786.558.570
9.542.814.171.429.260;6.660.747.406.922.460
10.853.182.486.907.800;6.350.149.006.454.500
10.627.621.464.037.400;6.987.429.331.417.570
6.877.697.681.537.580;5.893.521.947.956.440
13.036.420.969.726.000;7.229.725.992.211.750
12.913.693.452.629.600;770.924.445.781.424
12.017.897.098.248.600;7.374.831.430.662.550
11.178.945.033.186.900;6.505.777.261.704.520
